0;0;0;0;land;false;unknown;0
1;252;16;236;land;true;plains;1
2;216;246;168;land;false;plains;1
3;121;236;161;land;false;plains;1
4;185;149;202;land;false;plains;1
5;68;251;228;land;false;plains;1
6;91;236;194;land;false;plains;1
7;234;224;199;land;false;plains;1
8;198;243;180;land;false;plains;1
9;236;209;143;land;false;plains;1
10;252;129;141;land;false;plains;1
11;89;242;171;land;false;plains;1
12;214;241;112;land;false;plains;1
13;178;186;187;land;true;plains;1
14;246;77;244;land;false;plains;1
15;185;155;249;land;false;plains;1
16;250;62;200;land;false;plains;1
17;239;253;159;land;false;plains;1
18;250;237;205;land;false;plains;1
19;240;172;252;land;true;plains;1
20;211;185;181;land;false;plains;1
21;155;180;243;land;false;plains;1
22;208;239;107;land;false;plains;1
23;222;83;246;land;false;plains;1
24;223;125;220;land;false;plains;1
25;208;222;132;land;false;plains;1
26;104;201;212;land;false;plains;1
27;235;167;132;land;false;plains;1
28;52;240;215;land;false;plains;1
29;104;215;239;land;false;plains;1
30;194;245;210;land;true;plains;1
31;224;198;204;land;true;plains;1
32;233;121;180;land;false;plains;1
33;245;226;201;land;false;plains;1
34;221;238;82;land;false;plains;1
35;90;226;252;land;false;plains;1
36;153;251;192;land;false;plains;1
37;251;219;173;land;false;plains;1
38;165;201;254;land;false;plains;1
39;235;193;198;land;false;plains;1
40;253;159;214;land;false;plains;1
41;186;199;239;land;false;plains;1
42;173;248;96;land;false;plains;1
43;138;144;247;land;false;plains;1
44;235;102;172;land;false;plains;1
45;204;178;226;land;false;plains;1
46;222;174;109;land;false;plains;1
47;244;186;247;land;false;plains;1
48;239;193;80;land;false;plains;1
49;176;178;212;land;false;plains;1
50;122;228;213;land;false;plains;1
51;190;99;227;land;false;plains;1
52;195;137;243;land;false;plains;1
53;217;107;188;land;false;plains;1
54;216;249;73;land;false;plains;1
55;185;138;181;land;false;plains;1
56;132;235;169;land;false;plains;1
57;147;180;233;land;false;plains;1
58;156;226;123;land;false;plains;1
59;128;196;213;land;false;plains;1
60;223;210;226;land;false;plains;1
61;217;241;93;land;false;plains;1
62;240;42;236;land;false;plains;1
63;233;234;90;land;false;plains;1
64;238;211;91;land;false;plains;1
65;94;213;210;land;false;plains;1
66;73;248;227;land;false;plains;1
67;226;174;200;land;false;plains;1
68;242;197;164;land;false;plains;1
69;234;229;253;land;false;plains;1
70;227;184;236;land;false;plains;1
71;250;82;201;land;true;plains;1
72;78;246;198;land;false;plains;1
73;208;210;166;land;false;plains;1
74;240;235;142;land;false;plains;1
75;109;220;203;land;false;plains;1
76;243;193;200;land;false;plains;1
77;203;230;201;land;false;plains;1
78;185;144;183;land;false;plains;1
79;248;230;82;land;false;plains;1
80;194;241;188;land;false;plains;1
81;232;136;218;land;false;plains;1
82;81;240;250;land;false;plains;1
83;229;204;124;land;false;plains;1
84;190;201;140;land;false;plains;1
85;217;249;45;land;false;plains;1
86;155;148;242;land;false;plains;1
87;156;100;250;land;false;plains;1
88;232;125;179;land;false;plains;1
89;218;209;152;land;false;plains;1
90;151;232;186;land;false;plains;1
91;162;250;159;land;false;plains;1
92;173;228;161;land;false;plains;1
93;231;120;248;land;false;plains;1
94;174;210;171;land;false;plains;1
95;246;84;243;land;false;plains;1
96;190;129;243;land;false;plains;1
97;222;253;180;land;false;plains;1
98;166;133;205;land;true;plains;1
99;142;243;133;land;false;plains;1
100;193;203;243;land;false;plains;1
101;161;179;188;land;false;plains;1
102;119;233;168;land;false;plains;1
103;252;106;173;land;false;plains;1
104;192;227;103;land;false;plains;1
105;144;221;235;land;false;plains;1
106;109;195;211;land;false;plains;1
107;252;236;233;land;false;plains;1
108;208;147;155;land;false;plains;1
109;219;190;192;land;false;plains;1
110;190;248;185;land;false;plains;1
111;111;235;194;land;false;plains;1
112;149;253;113;land;false;plains;1
113;197;227;175;land;false;plains;1
114;229;186;123;land;false;plains;1
115;237;244;47;land;false;plains;1
116;225;61;239;land;false;plains;1
117;207;192;163;land;false;plains;1
118;227;190;156;land;false;plains;1
119;236;63;224;land;false;plains;1
120;154;251;164;land;false;plains;1
121;232;121;248;land;true;plains;1
122;237;163;189;land;false;plains;1
123;172;172;189;land;true;plains;1
124;225;110;221;land;false;plains;1
125;172;223;231;land;true;plains;1
126;127;174;201;land;false;plains;1
127;243;73;186;land;false;plains;1
128;207;173;213;land;false;plains;1
129;240;108;185;land;false;plains;1
130;202;252;183;land;false;plains;1
131;161;229;179;land;false;plains;1
132;233;175;106;land;true;plains;1
133;176;219;196;land;true;plains;1
134;161;215;250;land;false;plains;1
135;197;179;199;land;false;plains;1
136;126;253;247;land;false;plains;1
137;146;217;237;land;false;plains;1
138;118;182;201;land;false;plains;1
139;222;249;234;land;true;plains;1
140;91;244;191;land;false;plains;1
141;223;54;246;land;false;plains;1
142;206;215;160;land;false;plains;1
143;236;250;108;land;false;plains;1
144;226;129;222;land;true;plains;1
145;174;161;236;land;false;plains;1
146;95;236;183;land;true;plains;1
147;192;197;209;land;true;plains;1
148;248;194;190;land;false;plains;1
149;166;157;224;land;false;plains;1
150;154;219;140;land;false;plains;1
151;250;206;125;land;false;plains;1
152;136;230;250;land;false;plains;1
153;247;238;174;land;false;plains;1
154;247;240;142;land;false;plains;1
155;251;179;181;land;false;plains;1
156;216;236;81;land;false;plains;1
157;197;241;203;land;false;plains;1
158;233;181;135;land;false;plains;1
159;240;72;231;land;true;plains;1
160;216;233;190;land;true;plains;1
161;107;246;184;land;false;plains;1
162;208;129;247;land;false;plains;1
163;231;192;216;land;true;plains;1
164;123;222;169;land;false;plains;1
165;181;115;236;land;false;plains;1
